eventID,occurrenceID,basisOfRecord,scientificName,scientificNameID,occurrenceStatus,organismQuantity,organismQuantityType,taxonRank,kingdom,phylum,class,order,family,genus,species,occurrenceRemarks
400_2001-10-18_2001-10-18,400_2001-10-18_2001-10-18_11,HumanObservation,Ophiuroidea,urn:lsid:marinespecies.org:taxname:123084,absent,0,individuals,Class,Animalia,Echinodermata,Ophiuroidea,,,,,Quadrat surveys are used to estimate abundance for this organism.
400_2001-10-18_2001-10-18,400_2001-10-18_2001-10-18_12,HumanObservation,Panulirus interruptus,urn:lsid:marinespecies.org:taxname:382898,absent,0,individuals,Species,Animalia,Arthropoda,Malacostraca,Decapoda,Palinuridae,Panulirus,Panulirus interruptus,Swath surveys are used to estimate abundance for this organism.
400_2001-10-18_2001-10-18,400_2001-10-18_2001-10-18_13,HumanObservation,Patiria miniata,urn:lsid:marinespecies.org:taxname:382131,absent,0,individuals,Species,Animalia,Echinodermata,Asteroidea,Valvatida,Asterinidae,Patiria,Patiria miniata,Swath surveys are used to estimate abundance for this organism.
400_2001-10-18_2001-10-18,400_2001-10-18_2001-10-18_14,HumanObservation,Pharia pyramidata,urn:lsid:marinespecies.org:taxname:292795,absent,0,individuals,Species,Animalia,Echinodermata,Asteroidea,Valvatida,Ophidiasteridae,Pharia,Pharia pyramidata,Swath surveys are used to estimate abundance for this organism.
400_2001-10-18_2001-10-18,400_2001-10-18_2001-10-18_15,HumanObservation,Phataria unifascialis,urn:lsid:marinespecies.org:taxname:292797,absent,0,individuals,Species,Animalia,Echinodermata,Asteroidea,Valvatida,Ophidiasteridae,Phataria,Phataria unifascialis,Swath surveys are used to estimate abundance for this organism.
400_2001-10-18_2001-10-18,400_2001-10-18_2001-10-18_16,HumanObservation,Pisaster giganteus,urn:lsid:marinespecies.org:taxname:240758,absent,0,individuals,Species,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Pisaster,Pisaster giganteus,Swath surveys are used to estimate abundance for this organism.
400_2001-10-18_2001-10-18,400_2001-10-18_2001-10-18_17,HumanObservation,Pisaster ochraceus,urn:lsid:marinespecies.org:taxname:240755,absent,0,individuals,Species,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Pisaster,Pisaster ochraceus,Swath surveys are used to estimate abundance for this organism.
400_2001-10-18_2001-10-18,400_2001-10-18_2001-10-18_18,HumanObservation,Pycnopodia helianthoides,urn:lsid:marinespecies.org:taxname:240764,absent,0,individuals,Species,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Pycnopodia,Pycnopodia helianthoides,Swath surveys are used to estimate abundance for this organism.
6009_2015-06-02_2015-06-02,6009_2015-06-02_2015-06-02_1,HumanObservation,Astrometis sertulifera,urn:lsid:marinespecies.org:taxname:255044,absent,0,individuals,Species,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Astrometis,Astrometis sertulifera,Swath surveys are used to estimate abundance for this organism.
6009_2015-06-02_2015-06-02,6009_2015-06-02_2015-06-02_2,HumanObservation,Cryptochiton stelleri,urn:lsid:marinespecies.org:taxname:240776,present,3,individuals,Species,Animalia,Mollusca,Polyplacophora,Chitonida,Acanthochitonidae,Cryptochiton,Cryptochiton stelleri,Swath surveys are used to estimate abundance for this organism.
6009_2015-06-02_2015-06-02,6009_2015-06-02_2015-06-02_3,HumanObservation,Dermasterias imbricata,urn:lsid:marinespecies.org:taxname:240771,absent,0,individuals,Species,Animalia,Echinodermata,Asteroidea,Valvatida,Asteropseidae,Dermasterias,Dermasterias imbricata,Swath surveys are used to estimate abundance for this organism.
6009_2015-06-02_2015-06-02,6009_2015-06-02_2015-06-02_4,HumanObservation,Echinaster,urn:lsid:marinespecies.org:taxname:123275,absent,0,individuals,Genus,Animalia,Echinodermata,Asteroidea,Spinulosida,Echinasteridae,Echinaster,,Swath surveys are used to estimate abundance for this organism.
6009_2015-06-02_2015-06-02,6009_2015-06-02_2015-06-02_5,HumanObservation,Evasterias troschelii,urn:lsid:marinespecies.org:taxname:255040,absent,0,individuals,Species,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Evasterias,Evasterias troschelii,Swath surveys are used to estimate abundance for this organism.
6009_2015-06-02_2015-06-02,6009_2015-06-02_2015-06-02_6,HumanObservation,Heliaster kubiniji,urn:lsid:marinespecies.org:taxname:255074,absent,0,individuals,Species,Animalia,Echinodermata,Asteroidea,Forcipulatida,Heliasteridae,Heliaster,Heliaster kubiniji,Swath surveys are used to estimate abundance for this organism.
6009_2015-06-02_2015-06-02,6009_2015-06-02_2015-06-02_7,HumanObservation,Henricia,urn:lsid:marinespecies.org:taxname:123276,present,12,individuals,Genus,Animalia,Echinodermata,Asteroidea,Spinulosida,Echinasteridae,Henricia,,Swath surveys are used to estimate abundance for this organism.
6009_2015-06-02_2015-06-02,6009_2015-06-02_2015-06-02_8,HumanObservation,Leptasterias,urn:lsid:marinespecies.org:taxname:123222,present,20,individuals,Genus,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Leptasterias,,Swath surveys are used to estimate abundance for this organism.
6009_2015-06-02_2015-06-02,6009_2015-06-02_2015-06-02_9,HumanObservation,Linckia columbiae,urn:lsid:marinespecies.org:taxname:378630,absent,0,individuals,Species,Animalia,Echinodermata,Asteroidea,Valvatida,Ophidiasteridae,Linckia,Linckia columbiae,Swath surveys are used to estimate abundance for this organism.
6009_2015-06-02_2015-06-02,6009_2015-06-02_2015-06-02_10,HumanObservation,Mediaster aequalis,urn:lsid:marinespecies.org:taxname:242160,absent,0,individuals,Species,Animalia,Echinodermata,Asteroidea,Valvatida,Goniasteridae,Mediaster,Mediaster aequalis,Swath surveys are used to estimate abundance for this organism.
6009_2015-06-02_2015-06-02,6009_2015-06-02_2015-06-02_11,HumanObservation,Ophiuroidea,urn:lsid:marinespecies.org:taxname:123084,absent,0,individuals,Class,Animalia,Echinodermata,Ophiuroidea,,,,,Quadrat surveys are used to estimate abundance for this organism.
6009_2015-06-02_2015-06-02,6009_2015-06-02_2015-06-02_12,HumanObservation,Panulirus interruptus,urn:lsid:marinespecies.org:taxname:382898,absent,0,individuals,Species,Animalia,Arthropoda,Malacostraca,Decapoda,Palinuridae,Panulirus,Panulirus interruptus,Swath surveys are used to estimate abundance for this organism.
6009_2015-06-02_2015-06-02,6009_2015-06-02_2015-06-02_13,HumanObservation,Patiria miniata,urn:lsid:marinespecies.org:taxname:382131,absent,0,individuals,Species,Animalia,Echinodermata,Asteroidea,Valvatida,Asterinidae,Patiria,Patiria miniata,Swath surveys are used to estimate abundance for this organism.
6009_2015-06-02_2015-06-02,6009_2015-06-02_2015-06-02_14,HumanObservation,Pharia pyramidata,urn:lsid:marinespecies.org:taxname:292795,absent,0,individuals,Species,Animalia,Echinodermata,Asteroidea,Valvatida,Ophidiasteridae,Pharia,Pharia pyramidata,Swath surveys are used to estimate abundance for this organism.
6009_2015-06-02_2015-06-02,6009_2015-06-02_2015-06-02_15,HumanObservation,Phataria unifascialis,urn:lsid:marinespecies.org:taxname:292797,absent,0,individuals,Species,Animalia,Echinodermata,Asteroidea,Valvatida,Ophidiasteridae,Phataria,Phataria unifascialis,Swath surveys are used to estimate abundance for this organism.
6009_2015-06-02_2015-06-02,6009_2015-06-02_2015-06-02_16,HumanObservation,Pisaster giganteus,urn:lsid:marinespecies.org:taxname:240758,absent,0,individuals,Species,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Pisaster,Pisaster giganteus,Swath surveys are used to estimate abundance for this organism.
6009_2015-06-02_2015-06-02,6009_2015-06-02_2015-06-02_17,HumanObservation,Pisaster ochraceus,urn:lsid:marinespecies.org:taxname:240755,absent,0,individuals,Species,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Pisaster,Pisaster ochraceus,Swath surveys are used to estimate abundance for this organism.
6009_2015-06-02_2015-06-02,6009_2015-06-02_2015-06-02_18,HumanObservation,Pycnopodia helianthoides,urn:lsid:marinespecies.org:taxname:240764,absent,0,individuals,Species,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Pycnopodia,Pycnopodia helianthoides,Swath surveys are used to estimate abundance for this organism.
6009_2018-07-13_2018-07-13,6009_2018-07-13_2018-07-13_1,HumanObservation,Astrometis sertulifera,urn:lsid:marinespecies.org:taxname:255044,absent,0,individuals,Species,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Astrometis,Astrometis sertulifera,Swath surveys are used to estimate abundance for this organism.
6009_2018-07-13_2018-07-13,6009_2018-07-13_2018-07-13_2,HumanObservation,Cryptochiton stelleri,urn:lsid:marinespecies.org:taxname:240776,absent,0,individuals,Species,Animalia,Mollusca,Polyplacophora,Chitonida,Acanthochitonidae,Cryptochiton,Cryptochiton stelleri,Swath surveys are used to estimate abundance for this organism.
6009_2018-07-13_2018-07-13,6009_2018-07-13_2018-07-13_3,HumanObservation,Dermasterias imbricata,urn:lsid:marinespecies.org:taxname:240771,absent,0,individuals,Species,Animalia,Echinodermata,Asteroidea,Valvatida,Asteropseidae,Dermasterias,Dermasterias imbricata,Swath surveys are used to estimate abundance for this organism.
6009_2018-07-13_2018-07-13,6009_2018-07-13_2018-07-13_4,HumanObservation,Echinaster,urn:lsid:marinespecies.org:taxname:123275,absent,0,individuals,Genus,Animalia,Echinodermata,Asteroidea,Spinulosida,Echinasteridae,Echinaster,,Swath surveys are used to estimate abundance for this organism.
6009_2018-07-13_2018-07-13,6009_2018-07-13_2018-07-13_5,HumanObservation,Evasterias troschelii,urn:lsid:marinespecies.org:taxname:255040,absent,0,individuals,Species,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Evasterias,Evasterias troschelii,Swath surveys are used to estimate abundance for this organism.
6009_2018-07-13_2018-07-13,6009_2018-07-13_2018-07-13_6,HumanObservation,Heliaster kubiniji,urn:lsid:marinespecies.org:taxname:255074,absent,0,individuals,Species,Animalia,Echinodermata,Asteroidea,Forcipulatida,Heliasteridae,Heliaster,Heliaster kubiniji,Swath surveys are used to estimate abundance for this organism.
6009_2018-07-13_2018-07-13,6009_2018-07-13_2018-07-13_7,HumanObservation,Henricia,urn:lsid:marinespecies.org:taxname:123276,present,12,individuals,Genus,Animalia,Echinodermata,Asteroidea,Spinulosida,Echinasteridae,Henricia,,Swath surveys are used to estimate abundance for this organism.
6009_2018-07-13_2018-07-13,6009_2018-07-13_2018-07-13_8,HumanObservation,Leptasterias,urn:lsid:marinespecies.org:taxname:123222,present,21,individuals,Genus,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Leptasterias,,Swath surveys are used to estimate abundance for this organism.
6009_2018-07-13_2018-07-13,6009_2018-07-13_2018-07-13_9,HumanObservation,Linckia columbiae,urn:lsid:marinespecies.org:taxname:378630,absent,0,individuals,Species,Animalia,Echinodermata,Asteroidea,Valvatida,Ophidiasteridae,Linckia,Linckia columbiae,Swath surveys are used to estimate abundance for this organism.
6009_2018-07-13_2018-07-13,6009_2018-07-13_2018-07-13_10,HumanObservation,Mediaster aequalis,urn:lsid:marinespecies.org:taxname:242160,absent,0,individuals,Species,Animalia,Echinodermata,Asteroidea,Valvatida,Goniasteridae,Mediaster,Mediaster aequalis,Swath surveys are used to estimate abundance for this organism.
6009_2018-07-13_2018-07-13,6009_2018-07-13_2018-07-13_11,HumanObservation,Ophiuroidea,urn:lsid:marinespecies.org:taxname:123084,absent,0,individuals,Class,Animalia,Echinodermata,Ophiuroidea,,,,,Quadrat surveys are used to estimate abundance for this organism.
6009_2018-07-13_2018-07-13,6009_2018-07-13_2018-07-13_12,HumanObservation,Panulirus interruptus,urn:lsid:marinespecies.org:taxname:382898,absent,0,individuals,Species,Animalia,Arthropoda,Malacostraca,Decapoda,Palinuridae,Panulirus,Panulirus interruptus,Swath surveys are used to estimate abundance for this organism.
6009_2018-07-13_2018-07-13,6009_2018-07-13_2018-07-13_13,HumanObservation,Patiria miniata,urn:lsid:marinespecies.org:taxname:382131,present,5,individuals,Species,Animalia,Echinodermata,Asteroidea,Valvatida,Asterinidae,Patiria,Patiria miniata,Swath surveys are used to estimate abundance for this organism.
6009_2018-07-13_2018-07-13,6009_2018-07-13_2018-07-13_14,HumanObservation,Pharia pyramidata,urn:lsid:marinespecies.org:taxname:292795,absent,0,individuals,Species,Animalia,Echinodermata,Asteroidea,Valvatida,Ophidiasteridae,Pharia,Pharia pyramidata,Swath surveys are used to estimate abundance for this organism.
6009_2018-07-13_2018-07-13,6009_2018-07-13_2018-07-13_15,HumanObservation,Phataria unifascialis,urn:lsid:marinespecies.org:taxname:292797,absent,0,individuals,Species,Animalia,Echinodermata,Asteroidea,Valvatida,Ophidiasteridae,Phataria,Phataria unifascialis,Swath surveys are used to estimate abundance for this organism.
6009_2018-07-13_2018-07-13,6009_2018-07-13_2018-07-13_16,HumanObservation,Pisaster giganteus,urn:lsid:marinespecies.org:taxname:240758,absent,0,individuals,Species,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Pisaster,Pisaster giganteus,Swath surveys are used to estimate abundance for this organism.
6009_2018-07-13_2018-07-13,6009_2018-07-13_2018-07-13_17,HumanObservation,Pisaster ochraceus,urn:lsid:marinespecies.org:taxname:240755,present,36,individuals,Species,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Pisaster,Pisaster ochraceus,Swath surveys are used to estimate abundance for this organism.
6009_2018-07-13_2018-07-13,6009_2018-07-13_2018-07-13_18,HumanObservation,Pycnopodia helianthoides,urn:lsid:marinespecies.org:taxname:240764,absent,0,individuals,Species,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Pycnopodia,Pycnopodia helianthoides,Swath surveys are used to estimate abundance for this organism.
89_2012-02-03_2012-02-03,89_2012-02-03_2012-02-03_1,HumanObservation,Astrometis sertulifera,urn:lsid:marinespecies.org:taxname:255044,absent,0,individuals,Species,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Astrometis,Astrometis sertulifera,Swath surveys are used to estimate abundance for this organism.
89_2012-02-03_2012-02-03,89_2012-02-03_2012-02-03_2,HumanObservation,Cryptochiton stelleri,urn:lsid:marinespecies.org:taxname:240776,absent,0,individuals,Species,Animalia,Mollusca,Polyplacophora,Chitonida,Acanthochitonidae,Cryptochiton,Cryptochiton stelleri,Swath surveys are used to estimate abundance for this organism.
89_2012-02-03_2012-02-03,89_2012-02-03_2012-02-03_3,HumanObservation,Dermasterias imbricata,urn:lsid:marinespecies.org:taxname:240771,absent,0,individuals,Species,Animalia,Echinodermata,Asteroidea,Valvatida,Asteropseidae,Dermasterias,Dermasterias imbricata,Swath surveys are used to estimate abundance for this organism.
89_2012-02-03_2012-02-03,89_2012-02-03_2012-02-03_4,HumanObservation,Echinaster,urn:lsid:marinespecies.org:taxname:123275,absent,0,individuals,Genus,Animalia,Echinodermata,Asteroidea,Spinulosida,Echinasteridae,Echinaster,,Swath surveys are used to estimate abundance for this organism.
89_2012-02-03_2012-02-03,89_2012-02-03_2012-02-03_5,HumanObservation,Evasterias troschelii,urn:lsid:marinespecies.org:taxname:255040,absent,0,individuals,Species,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Evasterias,Evasterias troschelii,Swath surveys are used to estimate abundance for this organism.
89_2012-02-03_2012-02-03,89_2012-02-03_2012-02-03_6,HumanObservation,Heliaster kubiniji,urn:lsid:marinespecies.org:taxname:255074,absent,0,individuals,Species,Animalia,Echinodermata,Asteroidea,Forcipulatida,Heliasteridae,Heliaster,Heliaster kubiniji,Swath surveys are used to estimate abundance for this organism.
89_2012-02-03_2012-02-03,89_2012-02-03_2012-02-03_7,HumanObservation,Henricia,urn:lsid:marinespecies.org:taxname:123276,absent,0,individuals,Genus,Animalia,Echinodermata,Asteroidea,Spinulosida,Echinasteridae,Henricia,,Swath surveys are used to estimate abundance for this organism.
89_2012-02-03_2012-02-03,89_2012-02-03_2012-02-03_8,HumanObservation,Leptasterias,urn:lsid:marinespecies.org:taxname:123222,absent,0,individuals,Genus,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Leptasterias,,Swath surveys are used to estimate abundance for this organism.
89_2012-02-03_2012-02-03,89_2012-02-03_2012-02-03_9,HumanObservation,Linckia columbiae,urn:lsid:marinespecies.org:taxname:378630,absent,0,individuals,Species,Animalia,Echinodermata,Asteroidea,Valvatida,Ophidiasteridae,Linckia,Linckia columbiae,Swath surveys are used to estimate abundance for this organism.
89_2012-02-03_2012-02-03,89_2012-02-03_2012-02-03_10,HumanObservation,Mediaster aequalis,urn:lsid:marinespecies.org:taxname:242160,absent,0,individuals,Species,Animalia,Echinodermata,Asteroidea,Valvatida,Goniasteridae,Mediaster,Mediaster aequalis,Swath surveys are used to estimate abundance for this organism.
89_2012-02-03_2012-02-03,89_2012-02-03_2012-02-03_11,HumanObservation,Ophiuroidea,urn:lsid:marinespecies.org:taxname:123084,absent,0,individuals,Class,Animalia,Echinodermata,Ophiuroidea,,,,,Quadrat surveys are used to estimate abundance for this organism.
89_2012-02-03_2012-02-03,89_2012-02-03_2012-02-03_12,HumanObservation,Panulirus interruptus,urn:lsid:marinespecies.org:taxname:382898,absent,0,individuals,Species,Animalia,Arthropoda,Malacostraca,Decapoda,Palinuridae,Panulirus,Panulirus interruptus,Swath surveys are used to estimate abundance for this organism.
89_2012-02-03_2012-02-03,89_2012-02-03_2012-02-03_13,HumanObservation,Patiria miniata,urn:lsid:marinespecies.org:taxname:382131,absent,0,individuals,Species,Animalia,Echinodermata,Asteroidea,Valvatida,Asterinidae,Patiria,Patiria miniata,Swath surveys are used to estimate abundance for this organism.
89_2012-02-03_2012-02-03,89_2012-02-03_2012-02-03_14,HumanObservation,Pharia pyramidata,urn:lsid:marinespecies.org:taxname:292795,absent,0,individuals,Species,Animalia,Echinodermata,Asteroidea,Valvatida,Ophidiasteridae,Pharia,Pharia pyramidata,Swath surveys are used to estimate abundance for this organism.
89_2012-02-03_2012-02-03,89_2012-02-03_2012-02-03_15,HumanObservation,Phataria unifascialis,urn:lsid:marinespecies.org:taxname:292797,absent,0,individuals,Species,Animalia,Echinodermata,Asteroidea,Valvatida,Ophidiasteridae,Phataria,Phataria unifascialis,Swath surveys are used to estimate abundance for this organism.
89_2012-02-03_2012-02-03,89_2012-02-03_2012-02-03_16,HumanObservation,Pisaster giganteus,urn:lsid:marinespecies.org:taxname:240758,absent,0,individuals,Species,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Pisaster,Pisaster giganteus,Swath surveys are used to estimate abundance for this organism.
89_2012-02-03_2012-02-03,89_2012-02-03_2012-02-03_17,HumanObservation,Pisaster ochraceus,urn:lsid:marinespecies.org:taxname:240755,present,88,individuals,Species,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Pisaster,Pisaster ochraceus,Swath surveys are used to estimate abundance for this organism.
89_2012-02-03_2012-02-03,89_2012-02-03_2012-02-03_18,HumanObservation,Pycnopodia helianthoides,urn:lsid:marinespecies.org:taxname:240764,absent,0,individuals,Species,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Pycnopodia,Pycnopodia helianthoides,Swath surveys are used to estimate abundance for this organism.
89_2014-02-13_2014-02-13,89_2014-02-13_2014-02-13_1,HumanObservation,Astrometis sertulifera,urn:lsid:marinespecies.org:taxname:255044,absent,0,individuals,Species,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Astrometis,Astrometis sertulifera,Swath surveys are used to estimate abundance for this organism.
89_2014-02-13_2014-02-13,89_2014-02-13_2014-02-13_2,HumanObservation,Cryptochiton stelleri,urn:lsid:marinespecies.org:taxname:240776,absent,0,individuals,Species,Animalia,Mollusca,Polyplacophora,Chitonida,Acanthochitonidae,Cryptochiton,Cryptochiton stelleri,Swath surveys are used to estimate abundance for this organism.
89_2014-02-13_2014-02-13,89_2014-02-13_2014-02-13_3,HumanObservation,Dermasterias imbricata,urn:lsid:marinespecies.org:taxname:240771,absent,0,individuals,Species,Animalia,Echinodermata,Asteroidea,Valvatida,Asteropseidae,Dermasterias,Dermasterias imbricata,Swath surveys are used to estimate abundance for this organism.
89_2014-02-13_2014-02-13,89_2014-02-13_2014-02-13_4,HumanObservation,Echinaster,urn:lsid:marinespecies.org:taxname:123275,absent,0,individuals,Genus,Animalia,Echinodermata,Asteroidea,Spinulosida,Echinasteridae,Echinaster,,Swath surveys are used to estimate abundance for this organism.
89_2014-02-13_2014-02-13,89_2014-02-13_2014-02-13_5,HumanObservation,Evasterias troschelii,urn:lsid:marinespecies.org:taxname:255040,absent,0,individuals,Species,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Evasterias,Evasterias troschelii,Swath surveys are used to estimate abundance for this organism.
89_2014-02-13_2014-02-13,89_2014-02-13_2014-02-13_6,HumanObservation,Heliaster kubiniji,urn:lsid:marinespecies.org:taxname:255074,absent,0,individuals,Species,Animalia,Echinodermata,Asteroidea,Forcipulatida,Heliasteridae,Heliaster,Heliaster kubiniji,Swath surveys are used to estimate abundance for this organism.
89_2014-02-13_2014-02-13,89_2014-02-13_2014-02-13_7,HumanObservation,Henricia,urn:lsid:marinespecies.org:taxname:123276,absent,0,individuals,Genus,Animalia,Echinodermata,Asteroidea,Spinulosida,Echinasteridae,Henricia,,Swath surveys are used to estimate abundance for this organism.
89_2014-02-13_2014-02-13,89_2014-02-13_2014-02-13_8,HumanObservation,Leptasterias,urn:lsid:marinespecies.org:taxname:123222,absent,0,individuals,Genus,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Leptasterias,,Swath surveys are used to estimate abundance for this organism.
89_2014-02-13_2014-02-13,89_2014-02-13_2014-02-13_9,HumanObservation,Linckia columbiae,urn:lsid:marinespecies.org:taxname:378630,absent,0,individuals,Species,Animalia,Echinodermata,Asteroidea,Valvatida,Ophidiasteridae,Linckia,Linckia columbiae,Swath surveys are used to estimate abundance for this organism.
89_2014-02-13_2014-02-13,89_2014-02-13_2014-02-13_10,HumanObservation,Mediaster aequalis,urn:lsid:marinespecies.org:taxname:242160,absent,0,individuals,Species,Animalia,Echinodermata,Asteroidea,Valvatida,Goniasteridae,Mediaster,Mediaster aequalis,Swath surveys are used to estimate abundance for this organism.
89_2014-02-13_2014-02-13,89_2014-02-13_2014-02-13_11,HumanObservation,Ophiuroidea,urn:lsid:marinespecies.org:taxname:123084,absent,0,individuals,Class,Animalia,Echinodermata,Ophiuroidea,,,,,Quadrat surveys are used to estimate abundance for this organism.
89_2014-02-13_2014-02-13,89_2014-02-13_2014-02-13_12,HumanObservation,Panulirus interruptus,urn:lsid:marinespecies.org:taxname:382898,absent,0,individuals,Species,Animalia,Arthropoda,Malacostraca,Decapoda,Palinuridae,Panulirus,Panulirus interruptus,Swath surveys are used to estimate abundance for this organism.
89_2014-02-13_2014-02-13,89_2014-02-13_2014-02-13_13,HumanObservation,Patiria miniata,urn:lsid:marinespecies.org:taxname:382131,absent,0,individuals,Species,Animalia,Echinodermata,Asteroidea,Valvatida,Asterinidae,Patiria,Patiria miniata,Swath surveys are used to estimate abundance for this organism.
89_2014-02-13_2014-02-13,89_2014-02-13_2014-02-13_14,HumanObservation,Pharia pyramidata,urn:lsid:marinespecies.org:taxname:292795,absent,0,individuals,Species,Animalia,Echinodermata,Asteroidea,Valvatida,Ophidiasteridae,Pharia,Pharia pyramidata,Swath surveys are used to estimate abundance for this organism.
89_2014-02-13_2014-02-13,89_2014-02-13_2014-02-13_15,HumanObservation,Phataria unifascialis,urn:lsid:marinespecies.org:taxname:292797,absent,0,individuals,Species,Animalia,Echinodermata,Asteroidea,Valvatida,Ophidiasteridae,Phataria,Phataria unifascialis,Swath surveys are used to estimate abundance for this organism.
89_2014-02-13_2014-02-13,89_2014-02-13_2014-02-13_16,HumanObservation,Pisaster giganteus,urn:lsid:marinespecies.org:taxname:240758,absent,0,individuals,Species,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Pisaster,Pisaster giganteus,Swath surveys are used to estimate abundance for this organism.
89_2014-02-13_2014-02-13,89_2014-02-13_2014-02-13_17,HumanObservation,Pisaster ochraceus,urn:lsid:marinespecies.org:taxname:240755,absent,0,individuals,Species,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Pisaster,Pisaster ochraceus,Swath surveys are used to estimate abundance for this organism.
