eventID,eventDate,decimalLatitude,decimalLongitude,locality,county,stateProvince,countryCode,geodeticDatum,minimumDepthInMeters,maximumDepthInMeters,coordinateUncertaintyInMeters,samplingProtocol,datasetName,locationRemarks
38_2015-03-19_2015-03-19,2015-03-19/2015-03-19,34.4671402,-120.27738,Alegria,Santa Barbara,California,US,WGS84,0,0,350,cbs swath transects https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-swath | cbs quadrat surveys https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-quad,MARINe CBS - Swath Surveys Summarized,This site is outside of a Marine Protected Area.
38_2015-05-22_2015-05-22,2015-05-22/2015-05-22,34.4671402,-120.27738,Alegria,Santa Barbara,California,US,WGS84,0,0,350,cbs swath transects https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-swath | cbs quadrat surveys https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-quad,MARINe CBS - Swath Surveys Summarized,This site is outside of a Marine Protected Area.
38_2015-10-26_2015-10-26,2015-10-26/2015-10-26,34.4671402,-120.27738,Alegria,Santa Barbara,California,US,WGS84,0,0,350,cbs swath transects https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-swath | cbs quadrat surveys https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-quad,MARINe CBS - Swath Surveys Summarized,This site is outside of a Marine Protected Area.
38_2016-02-20_2016-02-20,2016-02-20/2016-02-20,34.4671402,-120.27738,Alegria,Santa Barbara,California,US,WGS84,0,0,350,cbs swath transects https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-swath | cbs quadrat surveys https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-quad,MARINe CBS - Swath Surveys Summarized,This site is outside of a Marine Protected Area.
38_2016-03-10_2016-03-10,2016-03-10/2016-03-10,34.4671402,-120.27738,Alegria,Santa Barbara,California,US,WGS84,0,0,350,cbs swath transects https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-swath | cbs quadrat surveys https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-quad,MARINe CBS - Swath Surveys Summarized,This site is outside of a Marine Protected Area.
38_2016-05-23_2016-05-23,2016-05-23/2016-05-23,34.4671402,-120.27738,Alegria,Santa Barbara,California,US,WGS84,0,0,350,cbs swath transects https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-swath | cbs quadrat surveys https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-quad,MARINe CBS - Swath Surveys Summarized,This site is outside of a Marine Protected Area.
38_2017-05-29_2017-05-29,2017-05-29/2017-05-29,34.4671402,-120.27738,Alegria,Santa Barbara,California,US,WGS84,0,0,350,cbs swath transects https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-swath | cbs quadrat surveys https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-quad,MARINe CBS - Swath Surveys Summarized,This site is outside of a Marine Protected Area.
38_2018-05-18_2018-05-18,2018-05-18/2018-05-18,34.4671402,-120.27738,Alegria,Santa Barbara,California,US,WGS84,0,0,350,cbs swath transects https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-swath | cbs quadrat surveys https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-quad,MARINe CBS - Swath Surveys Summarized,This site is outside of a Marine Protected Area.
38_2019-01-05_2019-01-05,2019-01-05/2019-01-05,34.4671402,-120.27738,Alegria,Santa Barbara,California,US,WGS84,0,0,350,cbs swath transects https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-swath | cbs quadrat surveys https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-quad,MARINe CBS - Swath Surveys Summarized,This site is outside of a Marine Protected Area.
38_2019-06-03_2019-06-03,2019-06-03/2019-06-03,34.4671402,-120.27738,Alegria,Santa Barbara,California,US,WGS84,0,0,350,cbs swath transects https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-swath | cbs quadrat surveys https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-quad,MARINe CBS - Swath Surveys Summarized,This site is outside of a Marine Protected Area.
38_2020-02-07_2020-02-07,2020-02-07/2020-02-07,34.4671402,-120.27738,Alegria,Santa Barbara,California,US,WGS84,0,0,350,cbs swath transects https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-swath | cbs quadrat surveys https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-quad,MARINe CBS - Swath Surveys Summarized,This site is outside of a Marine Protected Area.
38_2020-06-05_2020-06-05,2020-06-05/2020-06-05,34.4671402,-120.27738,Alegria,Santa Barbara,California,US,WGS84,0,0,350,cbs swath transects https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-swath | cbs quadrat surveys https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-quad,MARINe CBS - Swath Surveys Summarized,This site is outside of a Marine Protected Area.
38_2021-02-26_2021-02-26,2021-02-26/2021-02-26,34.4671402,-120.27738,Alegria,Santa Barbara,California,US,WGS84,0,0,350,cbs swath transects https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-swath | cbs quadrat surveys https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-quad,MARINe CBS - Swath Surveys Summarized,This site is outside of a Marine Protected Area.
26_2001-02-21_2001-02-21,2001-02-21/2001-02-21,36.28060913,-121.86317,Andrew Molera,Monterey,California,US,WGS84,0,0,350,cbs swath transects https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-swath | cbs quadrat surveys https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-quad,MARINe CBS - Swath Surveys Summarized,This site is inside of a Marine Protected Area: Point Sur SMR
26_2003-03-29_2003-03-29,2003-03-29/2003-03-29,36.28060913,-121.86317,Andrew Molera,Monterey,California,US,WGS84,0,0,350,cbs swath transects https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-swath | cbs quadrat surveys https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-quad,MARINe CBS - Swath Surveys Summarized,This site is inside of a Marine Protected Area: Point Sur SMR
26_2004-02-06_2004-02-06,2004-02-06/2004-02-06,36.28060913,-121.86317,Andrew Molera,Monterey,California,US,WGS84,0,0,350,cbs swath transects https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-swath | cbs quadrat surveys https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-quad,MARINe CBS - Swath Surveys Summarized,This site is inside of a Marine Protected Area: Point Sur SMR
26_2017-04-29_2017-04-29,2017-04-29/2017-04-29,36.28060913,-121.86317,Andrew Molera,Monterey,California,US,WGS84,0,0,350,cbs swath transects https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-swath | cbs quadrat surveys https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-quad,MARINe CBS - Swath Surveys Summarized,This site is inside of a Marine Protected Area: Point Sur SMR
26_2020-05-27_2020-05-27,2020-05-27/2020-05-27,36.28060913,-121.86317,Andrew Molera,Monterey,California,US,WGS84,0,0,350,cbs swath transects https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-swath | cbs quadrat surveys https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-quad,MARINe CBS - Swath Surveys Summarized,This site is inside of a Marine Protected Area: Point Sur SMR
19_2002-06-11_2002-06-11,2002-06-11/2002-06-11,37.10778046,-122.29444,Ano Nuevo,San Mateo,California,US,WGS84,0,0,350,cbs swath transects https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-swath | cbs quadrat surveys https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-quad,MARINe CBS - Swath Surveys Summarized,This site is inside of a Marine Protected Area: Ano Nuevo SMR
19_2008-04-10_2008-04-10,2008-04-10/2008-04-10,37.10778046,-122.29444,Ano Nuevo,San Mateo,California,US,WGS84,0,0,350,cbs swath transects https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-swath | cbs quadrat surveys https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-quad,MARINe CBS - Swath Surveys Summarized,This site is inside of a Marine Protected Area: Ano Nuevo SMR
19_2013-11-14_2013-11-14,2013-11-14/2013-11-14,37.10778046,-122.29444,Ano Nuevo,San Mateo,California,US,WGS84,0,0,350,cbs swath transects https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-swath | cbs quadrat surveys https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-quad,MARINe CBS - Swath Surveys Summarized,This site is inside of a Marine Protected Area: Ano Nuevo SMR
19_2017-05-28_2017-05-28,2017-05-28/2017-05-28,37.10778046,-122.29444,Ano Nuevo,San Mateo,California,US,WGS84,0,0,350,cbs swath transects https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-swath | cbs quadrat surveys https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-quad,MARINe CBS - Swath Surveys Summarized,This site is inside of a Marine Protected Area: Ano Nuevo SMR
19_2021-06-13_2021-06-13,2021-06-13/2021-06-13,37.10778046,-122.29444,Ano Nuevo,San Mateo,California,US,WGS84,0,0,350,cbs swath transects https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-swath | cbs quadrat surveys https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-quad,MARINe CBS - Swath Surveys Summarized,This site is inside of a Marine Protected Area: Ano Nuevo SMR
37_2001-05-02_2001-05-02,2001-05-02/2001-05-02,34.47343826,-120.1454,Arroyo Hondo,Santa Barbara,California,US,WGS84,0,0,350,cbs swath transects https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-swath | cbs quadrat surveys https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-quad,MARINe CBS - Swath Surveys Summarized,This site is outside of a Marine Protected Area.
37_2005-04-04_2005-04-04,2005-04-04/2005-04-04,34.47343826,-120.1454,Arroyo Hondo,Santa Barbara,California,US,WGS84,0,0,350,cbs swath transects https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-swath | cbs quadrat surveys https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-quad,MARINe CBS - Swath Surveys Summarized,This site is outside of a Marine Protected Area.
37_2016-02-21_2016-02-21,2016-02-21/2016-02-21,34.47343826,-120.1454,Arroyo Hondo,Santa Barbara,California,US,WGS84,0,0,350,cbs swath transects https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-swath | cbs quadrat surveys https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-quad,MARINe CBS - Swath Surveys Summarized,This site is outside of a Marine Protected Area.
37_2016-05-11_2016-05-11,2016-05-11/2016-05-11,34.47343826,-120.1454,Arroyo Hondo,Santa Barbara,California,US,WGS84,0,0,350,cbs swath transects https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-swath | cbs quadrat surveys https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-quad,MARINe CBS - Swath Surveys Summarized,This site is outside of a Marine Protected Area.
95_2012-11-15_2012-11-15,2012-11-15/2012-11-15,36.6222496,-121.94161,Asilomar,Monterey,California,US,WGS84,0,0,350,cbs swath transects https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-swath | cbs quadrat surveys https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-quad,MARINe CBS - Swath Surveys Summarized,This site is inside of a Marine Protected Area: Asilomar SMR
605_2010-01-29_2010-01-29,2010-01-29/2010-01-29,33.3219986,-118.3052,Avalon Quarry,Los Angeles,California,US,WGS84,0,0,350,cbs swath transects https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-swath | cbs quadrat surveys https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-quad,MARINe CBS - Swath Surveys Summarized,This site is outside of a Marine Protected Area.
605_2013-02-22_2013-02-22,2013-02-22/2013-02-22,33.3219986,-118.3052,Avalon Quarry,Los Angeles,California,US,WGS84,0,0,350,cbs swath transects https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-swath | cbs quadrat surveys https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-quad,MARINe CBS - Swath Surveys Summarized,This site is outside of a Marine Protected Area.
1009_2007-02-28_2007-02-28,2007-02-28/2007-02-28,27.85967064,-115.1815,Babencho Grande,,Baja California Sur,MX,WGS84,0,0,350,cbs swath transects https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-swath | cbs quadrat surveys https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-quad,MARINe CBS - Swath Surveys Summarized,This site is outside of a Marine Protected Area.
1009_2011-02-17_2011-02-17,2011-02-17/2011-02-17,27.85967064,-115.1815,Babencho Grande,,Baja California Sur,MX,WGS84,0,0,350,cbs swath transects https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-swath | cbs quadrat surveys https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-quad,MARINe CBS - Swath Surveys Summarized,This site is outside of a Marine Protected Area.
604_2010-01-28_2010-01-28,2010-01-28/2010-01-28,33.44641113,-118.48533,Big Fisherman Cove,Los Angeles,California,US,WGS84,0,0,350,cbs swath transects https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-swath | cbs quadrat surveys https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-quad,MARINe CBS - Swath Surveys Summarized,This site is inside of a Marine Protected Area: Blue Cavern Onshore SMCA
604_2013-02-21_2013-02-21,2013-02-21/2013-02-21,33.44641113,-118.48533,Big Fisherman Cove,Los Angeles,California,US,WGS84,0,0,350,cbs swath transects https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-swath | cbs quadrat surveys https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-quad,MARINe CBS - Swath Surveys Summarized,This site is inside of a Marine Protected Area: Blue Cavern Onshore SMCA
604_2018-02-11_2018-02-11,2018-02-11/2018-02-11,33.44641113,-118.48533,Big Fisherman Cove,Los Angeles,California,US,WGS84,0,0,350,cbs swath transects https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-swath | cbs quadrat surveys https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-quad,MARINe CBS - Swath Surveys Summarized,This site is inside of a Marine Protected Area: Blue Cavern Onshore SMCA
604_2020-02-22_2020-02-22,2020-02-22/2020-02-22,33.44641113,-118.48533,Big Fisherman Cove,Los Angeles,California,US,WGS84,0,0,350,cbs swath transects https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-swath | cbs quadrat surveys https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-quad,MARINe CBS - Swath Surveys Summarized,This site is inside of a Marine Protected Area: Blue Cavern Onshore SMCA
600_2002-04-20_2002-04-20,2002-04-20/2002-04-20,33.45145035,-118.48763,Bird Rock,Los Angeles,California,US,WGS84,0,0,350,cbs swath transects https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-swath | cbs quadrat surveys https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-quad,MARINe CBS - Swath Surveys Summarized,This site is inside of a Marine Protected Area: Blue Cavern Onshore SMCA
600_2004-01-20_2004-01-20,2004-01-20/2004-01-20,33.45145035,-118.48763,Bird Rock,Los Angeles,California,US,WGS84,0,0,350,cbs swath transects https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-swath | cbs quadrat surveys https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-quad,MARINe CBS - Swath Surveys Summarized,This site is inside of a Marine Protected Area: Blue Cavern Onshore SMCA
600_2007-03-13_2007-03-13,2007-03-13/2007-03-13,33.45145035,-118.48763,Bird Rock,Los Angeles,California,US,WGS84,0,0,350,cbs swath transects https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-swath | cbs quadrat surveys https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-quad,MARINe CBS - Swath Surveys Summarized,This site is inside of a Marine Protected Area: Blue Cavern Onshore SMCA
600_2013-02-25_2013-02-25,2013-02-25/2013-02-25,33.45145035,-118.48763,Bird Rock,Los Angeles,California,US,WGS84,0,0,350,cbs swath transects https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-swath | cbs quadrat surveys https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-quad,MARINe CBS - Swath Surveys Summarized,This site is inside of a Marine Protected Area: Blue Cavern Onshore SMCA
600_2020-02-19_2020-02-19,2020-02-19/2020-02-19,33.45145035,-118.48763,Bird Rock,Los Angeles,California,US,WGS84,0,0,350,cbs swath transects https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-swath | cbs quadrat surveys https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-quad,MARINe CBS - Swath Surveys Summarized,This site is inside of a Marine Protected Area: Blue Cavern Onshore SMCA
36_2001-03-21_2001-03-21,2001-03-21/2001-03-21,34.55387878,-120.61167,Boat House,Santa Barbara,California,US,WGS84,0,0,350,cbs swath transects https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-swath | cbs quadrat surveys https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-quad,MARINe CBS - Swath Surveys Summarized,This site is outside of a Marine Protected Area.
36_2007-03-18_2007-03-18,2007-03-18/2007-03-18,34.55387878,-120.61167,Boat House,Santa Barbara,California,US,WGS84,0,0,350,cbs swath transects https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-swath | cbs quadrat surveys https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-quad,MARINe CBS - Swath Surveys Summarized,This site is outside of a Marine Protected Area.
36_2017-12-01_2017-12-01,2017-12-01/2017-12-01,34.55387878,-120.61167,Boat House,Santa Barbara,California,US,WGS84,0,0,350,cbs swath transects https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-swath | cbs quadrat surveys https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-quad,MARINe CBS - Swath Surveys Summarized,This site is outside of a Marine Protected Area.
36_2020-03-07_2020-03-07,2020-03-07/2020-03-07,34.55387878,-120.61167,Boat House,Santa Barbara,California,US,WGS84,0,0,350,cbs swath transects https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-swath | cbs quadrat surveys https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-quad,MARINe CBS - Swath Surveys Summarized,This site is outside of a Marine Protected Area.
7_2001-06-23_2001-06-23,2001-06-23/2001-06-23,44.24456024,-124.11443,Bob Creek,Lane,Oregon,US,WGS84,0,0,350,cbs swath transects https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-swath | cbs quadrat surveys https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-quad,MARINe CBS - Swath Surveys Summarized,This site is inside of a Marine Protected Area: Cape Perpetua Marine Reserve
7_2007-05-16_2007-05-16,2007-05-16/2007-05-16,44.24456024,-124.11443,Bob Creek,Lane,Oregon,US,WGS84,0,0,350,cbs swath transects https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-swath | cbs quadrat surveys https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-quad,MARINe CBS - Swath Surveys Summarized,This site is inside of a Marine Protected Area: Cape Perpetua Marine Reserve
7_2013-08-21_2013-08-21,2013-08-21/2013-08-21,44.24456024,-124.11443,Bob Creek,Lane,Oregon,US,WGS84,0,0,350,cbs swath transects https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-swath | cbs quadrat surveys https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-quad,MARINe CBS - Swath Surveys Summarized,This site is inside of a Marine Protected Area: Cape Perpetua Marine Reserve
7_2015-07-14_2015-07-14,2015-07-14/2015-07-14,44.24456024,-124.11443,Bob Creek,Lane,Oregon,US,WGS84,0,0,350,cbs swath transects https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-swath | cbs quadrat surveys https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-quad,MARINe CBS - Swath Surveys Summarized,This site is inside of a Marine Protected Area: Cape Perpetua Marine Reserve
7_2016-07-18_2016-07-18,2016-07-18/2016-07-18,44.24456024,-124.11443,Bob Creek,Lane,Oregon,US,WGS84,0,0,350,cbs swath transects https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-swath | cbs quadrat surveys https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-quad,MARINe CBS - Swath Surveys Summarized,This site is inside of a Marine Protected Area: Cape Perpetua Marine Reserve
7_2019-07-05_2019-07-05,2019-07-05/2019-07-05,44.24456024,-124.11443,Bob Creek,Lane,Oregon,US,WGS84,0,0,350,cbs swath transects https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-swath | cbs quadrat surveys https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-quad,MARINe CBS - Swath Surveys Summarized,This site is inside of a Marine Protected Area: Cape Perpetua Marine Reserve
14_2001-07-08_2001-07-08,2001-07-08/2001-07-08,38.31819916,-123.07365,Bodega,Sonoma,California,US,WGS84,0,0,350,cbs swath transects https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-swath | cbs quadrat surveys https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-quad,MARINe CBS - Swath Surveys Summarized,This site is inside of a Marine Protected Area: Bodega Head SMR
14_2003-06-01_2003-06-01,2003-06-01/2003-06-01,38.31819916,-123.07365,Bodega,Sonoma,California,US,WGS84,0,0,350,cbs swath transects https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-swath | cbs quadrat surveys https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-quad,MARINe CBS - Swath Surveys Summarized,This site is inside of a Marine Protected Area: Bodega Head SMR
14_2004-05-19_2004-05-19,2004-05-19/2004-05-19,38.31819916,-123.07365,Bodega,Sonoma,California,US,WGS84,0,0,350,cbs swath transects https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-swath | cbs quadrat surveys https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-quad,MARINe CBS - Swath Surveys Summarized,This site is inside of a Marine Protected Area: Bodega Head SMR
